Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second)
1000,119,0.119,119,0.119,0,0
1000,107,0.107,107,0.107,0,0
1000,112,0.112,112,0.112,0,0
1000,117,0.117,117,0.117,0,0
1000,116,0.116,116,0.116,0,0
1000,115,0.115,115,0.115,0,0
1000,120,0.12,120,0.12,0,0
1000,106,0.106,106,0.106,0,0
1000,106,0.106,106,0.106,0,0
1000,114,0.114,114,0.114,0,0
1000,112,0.112,112,0.112,0,0
1000,119,0.119,119,0.119,0,0
1000,115,0.115,115,0.115,0,0
1000,115,0.115,115,0.115,0,0
1000,105,0.105,105,0.105,0,0
1000,114,0.114,114,0.114,0,0
1000,117,0.117,117,0.117,0,0
1000,107,0.107,107,0.107,0,0
1000,106,0.106,106,0.106,0,0
1000,119,0.119,119,0.119,0,0
1000,114,0.114,114,0.114,0,0
1000,110,0.11,110,0.11,0,0
1000,123,0.123,123,0.123,0,0
1000,115,0.115,115,0.115,0,0
1000,113,0.113,113,0.113,0,0
1000,116,0.116,116,0.116,0,0
1000,122,0.122,122,0.122,0,0
1000,119,0.119,119,0.119,0,0
1000,109,0.109,109,0.109,0,0
1000,113,0.113,113,0.113,0,0
1000,115,0.115,115,0.115,0,0
1000,106,0.106,106,0.106,0,0
1000,110,0.11,110,0.11,0,0
1000,120,0.12,120,0.12,0,0
1000,110,0.11,110,0.11,0,0
1000,146,0.146,86,0.086,60,0.06
1000,174,0.174,86,0.086,88,0.088
1000,205,0.205,82,0.082,123,0.123
1000,161,0.161,71,0.071,90,0.09
1000,162,0.162,65,0.065,97,0.097
1000,194,0.194,88,0.088,106,0.106
1000,193,0.193,79,0.079,114,0.114
1000,143,0.143,66,0.066,77,0.077
1000,150,0.15,76,0.076,74,0.074
1000,166,0.166,65,0.065,101,0.101
1000,184,0.184,61,0.061,123,0.123
1000,179,0.179,64,0.064,115,0.115
1000,182,0.182,76,0.076,106,0.106
1000,165,0.165,45,0.045,120,0.12
1000,179,0.179,84,0.084,95,0.095
1000,147,0.147,55,0.055,92,0.092
1000,161,0.161,71,0.071,90,0.09
1000,179,0.179,64,0.064,115,0.115
1000,197,0.197,87,0.087,110,0.11
1000,145,0.145,43,0.043,102,0.102
1000,181,0.181,77,0.077,104,0.104
1000,183,0.183,83,0.083,100,0.1
1000,172,0.172,55,0.055,117,0.117
1000,186,0.186,92,0.092,94,0.094
1000,181,0.181,77,0.077,104,0.104
1000,167,0.167,85,0.085,82,0.082
1000,179,0.179,86,0.086,93,0.093
1000,177,0.177,80,0.08,97,0.097
1000,178,0.178,78,0.078,100,0.1
1000,172,0.172,49,0.049,123,0.123
1000,184,0.184,70,0.07,114,0.114
1000,120,0.12,49,0.049,71,0.071
1000,189,0.189,90,0.09,99,0.099
1000,191,0.191,81,0.081,110,0.11
1000,182,0.182,67,0.067,115,0.115
1000,188,0.188,78,0.078,110,0.11
1000,190,0.19,97,0.097,93,0.093
1000,174,0.174,70,0.07,104,0.104
1000,202,0.202,77,0.077,125,0.125
1000,200,0.2,83,0.083,117,0.117
1000,185,0.185,66,0.066,119,0.119
1000,160,0.16,70,0.07,90,0.09
1000,114,0.114,63,0.063,51,0.051
1000,188,0.188,74,0.074,114,0.114
1000,180,0.18,63,0.063,117,0.117
1000,181,0.181,67,0.067,114,0.114
1000,197,0.197,81,0.081,116,0.116
1000,139,0.139,58,0.058,81,0.081
1000,181,0.181,73,0.073,108,0.108
1000,181,0.181,74,0.074,107,0.107
1000,115,0.115,115,0.115,0,0
1000,119,0.119,119,0.119,0,0
1000,114,0.114,114,0.114,0,0
1000,117,0.117,117,0.117,0,0
1000,115,0.115,115,0.115,0,0
1000,116,0.116,116,0.116,0,0
1000,107,0.107,107,0.107,0,0
1000,117,0.117,117,0.117,0,0
1000,120,0.12,120,0.12,0,0
1000,116,0.116,116,0.116,0,0
1000,111,0.111,111,0.111,0,0
1000,107,0.107,107,0.107,0,0
1000,120,0.12,120,0.12,0,0
1000,103,0.103,103,0.103,0,0
1000,102,0.102,102,0.102,0,0
1000,113,0.113,113,0.113,0,0
1000,111,0.111,111,0.111,0,0
1000,121,0.121,121,0.121,0,0
1000,121,0.121,121,0.121,0,0
1000,114,0.114,114,0.114,0,0
1000,118,0.118,118,0.118,0,0
1000,103,0.103,103,0.103,0,0
1000,119,0.119,119,0.119,0,0
1000,119,0.119,119,0.119,0,0
1000,115,0.115,115,0.115,0,0
1000,119,0.119,119,0.119,0,0
1000,125,0.125,125,0.125,0,0
1000,116,0.116,116,0.116,0,0
1000,115,0.115,115,0.115,0,0
1000,110,0.11,110,0.11,0,0
1000,113,0.113,113,0.113,0,0
1000,112,0.112,112,0.112,0,0
1000,111,0.111,111,0.111,0,0
1000,115,0.115,115,0.115,0,0
1000,115,0.115,115,0.115,0,0
1000,102,0.102,102,0.102,0,0
1000,109,0.109,109,0.109,0,0
1000,116,0.116,116,0.116,0,0
1000,124,0.124,124,0.124,0,0
1000,118,0.118,118,0.118,0,0
1000,118,0.118,118,0.118,0,0
1000,121,0.121,121,0.121,0,0
1000,110,0.11,110,0.11,0,0
1000,114,0.114,114,0.114,0,0
1000,118,0.118,118,0.118,0,0
1000,124,0.124,124,0.124,0,0
1000,116,0.116,116,0.116,0,0
1000,117,0.117,117,0.117,0,0
1000,117,0.117,117,0.117,0,0
1000,108,0.108,108,0.108,0,0
1000,174,0.174,75,0.075,99,0.099
1000,182,0.182,70,0.07,112,0.112
1000,176,0.176,83,0.083,93,0.093
1000,203,0.203,85,0.085,118,0.118
1000,186,0.186,76,0.076,110,0.11
1000,188,0.188,64,0.064,124,0.124
1000,184,0.184,80,0.08,104,0.104
1000,185,0.185,75,0.075,110,0.11
1000,193,0.193,77,0.077,116,0.116
1000,180,0.18,68,0.068,112,0.112
1000,188,0.188,79,0.079,109,0.109
1000,161,0.161,66,0.066,95,0.095
1000,209,0.209,80,0.08,129,0.129
1000,170,0.17,69,0.069,101,0.101
1000,166,0.166,78,0.078,88,0.088
1000,189,0.189,81,0.081,108,0.108
1000,173,0.173,72,0.072,101,0.101
1000,180,0.18,78,0.078,102,0.102
1000,171,0.171,96,0.096,75,0.075
1000,115,0.115,55,0.055,60,0.06
1000,132,0.132,56,0.056,76,0.076
1000,200,0.2,104,0.104,96,0.096
1000,180,0.18,63,0.063,117,0.117
1000,185,0.185,72,0.072,113,0.113
1000,162,0.162,58,0.058,104,0.104
1000,169,0.169,93,0.093,76,0.076
1000,180,0.18,81,0.081,99,0.099
1000,144,0.144,44,0.044,100,0.1
1000,140,0.14,41,0.041,99,0.099
1000,194,0.194,82,0.082,112,0.112
1000,188,0.188,77,0.077,111,0.111
1000,196,0.196,64,0.064,132,0.132
1000,155,0.155,45,0.045,110,0.11
1000,191,0.191,70,0.07,121,0.121
1000,203,0.203,76,0.076,127,0.127
1000,181,0.181,81,0.081,100,0.1
1000,190,0.19,64,0.064,126,0.126
1000,200,0.2,82,0.082,118,0.118
1000,173,0.173,90,0.09,83,0.083
1000,195,0.195,87,0.087,108,0.108
1000,194,0.194,64,0.064,130,0.13
1000,153,0.153,63,0.063,90,0.09
1000,193,0.193,66,0.066,127,0.127
1000,201,0.201,91,0.091,110,0.11
1000,177,0.177,90,0.09,87,0.087
1000,176,0.176,67,0.067,109,0.109
1000,174,0.174,72,0.072,102,0.102
1000,200,0.2,84,0.084,116,0.116
1000,166,0.166,69,0.069,97,0.097
1000,188,0.188,77,0.077,111,0.111
1000,122,0.122,122,0.122,0,0
1000,117,0.117,117,0.117,0,0
1000,107,0.107,107,0.107,0,0
1000,119,0.119,119,0.119,0,0
1000,126,0.126,126,0.126,0,0
1000,110,0.11,110,0.11,0,0
1000,115,0.115,115,0.115,0,0
1000,111,0.111,111,0.111,0,0
1000,105,0.105,105,0.105,0,0
1000,118,0.118,118,0.118,0,0
1000,107,0.107,107,0.107,0,0
1000,117,0.117,117,0.117,0,0
1000,114,0.114,114,0.114,0,0
1000,113,0.113,113,0.113,0,0
1000,117,0.117,117,0.117,0,0
1000,116,0.116,116,0.116,0,0
1000,119,0.119,119,0.119,0,0
1000,115,0.115,115,0.115,0,0
